10月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 27
,,201,2024-10-31 00:00:00,土耳其/A李信,6500,100*65=6500,13:00:00,深圳芳林子@SHEN 户,1151.4,1000*1.14*1.01=1151.4,13:19:00,,,,,,,
,,202,2024-10-31 00:00:00,,,,,账单户广告费,2000.62,,13:50:00,,,,,,,
,,203,2024-10-31 00:00:00,,,,,深圳芳林子@SHEN 户,1151.4,1000*1.14*1.01=1151.4,13:57:00,,,,,,,
,,204,2024-10-31 00:00:00,,,,,Fb966半限户-啊噗,210,,14:01:00,,,,,,,
,,205,2024-10-31 00:00:00,,,,,印度企业户100u➕14%扎克伯克,1256.986,1000+14.9=1014.9×1.14=1156.986+100=1256.986,14:18:00,,,,,,,
,,206,2024-10-31 00:00:00,,,,,Fb966半限户-啊噗,210,,16:13:00,,,,,,,
,,207,2024-10-31 00:00:00,,,,,深圳芳林子@SHEN 户,17776,（3000+5000+5000+3000）*1.10*1.01=17776,16:17:00,,,,,,,
,,208,2024-10-31 00:00:00,,,,,十月二不限-泰华,6786,,19:12:00,,,,,,,
,,209,2024-10-31 00:00:00,土耳其/A李信,6500,100*65=6500,21:31:00,,,,,,,,,,,
,,210,,,,,,,,,,,,,,,,
,,211,,,,,,,,,,,,,,,,
,,212,,,,,,,,,,,,,,,,
,,213,,,,,,,,,,,,,,,,
,,214,,,,,,,,,,,,,,,,
,,215,,,,,,,,,,,,,,,,
,,216,,,,,,,,,,,,,,,,
,,217,,,,,,,,,,,,,,,,
,,218,,,,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,,,,
,,220,,,,,,,,,,,,,,,,
,,221,,,,,,,,,,,,,,,,
,,222,,,,,,,,,,,,,,,,
,,223,,,,,,,,,,,,,,,,
,,224,,,,,,,,,,,,,,,,
,,225,,,,,,,,,,,,,,,,
,,226,,,,,,,,,,,,,,,,
,,227,,,,,,,,,,,,,,,,
,,228,,,,,,,,,,,,,,,,
,,229,,,,,,,,,,,,,,,,
,,230,,,,,,,,,,,,,,,,
,,231,,,,,,,,,,,,,,,,
,,232,,,,,,,,,,,,,,,,
,,233,,,,,,,,,,,,,,,,
,,234,,,,,,,,,,,,,,,,
,,235,,,,,,,,,,,,,,,,
